HOT cruises
 Cru No   Tsn   Tcorr No      Tcorr   Slag
  135    2242        1     -0.000085      -1.0
  136    2454        1     -0.000021       0.0
  136    2242        1     -0.000162      -1.0
  137    2454        1     -0.000003       0.0
  137    2242        1     -0.000429      -1.0
  138    2454        1      0.000007       0.0
  138    2242        1     -0.000580      -1.0
  139    2454        1      0.000023       0.0
  139    2242        1     -0.000812      -1.0
  140    2454        1      0.000033       0.0
  140    2242        1     -0.000967      -2.0
  140    2242        2     -0.000967      -1.0
  141    2454        1      0.000040       0.0
  141    2242        1     -0.001075      -1.0
  142    2454        1      0.000046       0.0
  142    2242        1     -0.001157      -1.0
  142    1416        1      0.00000        0.0
  142    1591        1      0.00000       -1.0
  143    2454        1      0.000052       0.0
  143    2242        1     -0.001249      -1.0
  144    2454        1      0.000113       0.0
  144  2700      1     -0.000072       1.0
  144    2242        1      0.000590      -1.0
  145    2700        1     -0.000025       1.0
  145    2454        1      0.000058      -1.0
  146    2700        1      0.000012       1.0
  146    2454        1      0.000016      -2.0
  147    2700        1      0.000042       1.0
  147    2454        1     -0.000019      -2.0
  148    2700        1      0.000074       1.0
  148    2454        1     -0.000056      -1.0
  149    2700        1      0.000109       1.0
  149    2454        1     -0.000096      -1.0
  150    2700        1      0.000145       1.0
  150    2454        1     -0.000137      -1.0
  151    2700        1      0.000182       1.0
  151    2454        1     -0.000181      -1.0
  152    2700        1      0.000247       1.0
  152    2454        1     -0.000256      -1.0
  153    2700        1      0.000278       1.0
  153    2454        1     -0.000291      -1.0
  154    2700        1      0.000325       1.0
  154    2454        1     -0.000345      -1.0
  155    2700        1     -0.000013       1.0
  155    2454        1      0.000009      -1.0
  156    2700        1     -0.000007       1.0
  156    2454        1     -0.000012      -2.0
  157    2700        1     -0.000002       1.0
  157    2454        1     -0.000026      -2.0
  158    2700        1      0.000004       1.0
  158    2454        1     -0.000046      -2.0
  159    2700        1      0.000009       1.0
  159    2454        1     -0.000063      -1.0
  160    2700        1      0.000014       1.0
  160    2454        1     -0.000080      -1.0
  161    2700        1      0.000019       1.0
  161    2454        1     -0.000097      -1.0
  162    2700        1      0.000025       1.0
  162    2454        1     -0.000118      -1.0
  163    2700        1      0.000033       1.0
  163    2454        1     -0.000144       0.0
  164    2700        1      0.000039       1.0
  164    2454        1     -0.000164      -1.0
  165    2700        1      0.000044       1.0
  165    2454        1     -0.000181      -1.0
  166    2700        1      0.000049       1.0
  166    2454        1     -0.000195      -1.0
  167    2700        1     -0.000170       1.0
  167    2454        1     -0.000095      -1.0
  168    2700        1     -0.000150       1.0
  168    2454        1     -0.000076      -1.0
  169    2700        1     -0.000101       1.0
  169    2454        1     -0.000030      -1.0
  170    2700        1     -0.000083       1.0
  170    2454        1     -0.000013      -2.0
  171    2700        1     -0.000062       1.0
  171    2454        1      0.000007      -1.0
  172    2700        1     -0.000044       1.0
  172    2242        1     -0.000026      -1.0
  173    2700        1     -0.000026       1.0
  173    2242        1     -0.000043      -1.0
  174    2700        1     -0.000005       1.0
  174    2242        1     -0.000062      -1.0
  175    2700        1      0.000015       1.0
  175    2242        1     -0.000085      -1.0
  175    2454        1      0.000080       0.0
  175    1489        1     -0.000923      -1.0
  176    2454        1      0.000099       1.0
  176    4448        1     -0.000164       0.0
  177    2454        1      0.000436       1.0
  177    4448        1      0.001123       0.0
  178    2454        1      0.000387       1.0
  178    4448        1      0.000998      -2.0
  179    2454        1      0.000334       0.0
  179    4448        1      0.000860      -2.0
  180    2454        1      0.000281       0.0
  180    4448        1      0.000723      -2.0
  181    2454        1      0.000153       0.0
  181    4448        1      0.000394      -2.0
  182    2454        1      0.000111       0.0
  182    4448        1      0.000287      -2.0
  183    2454        1      0.000044       0.0
  183    4448        1      0.000114      -1.0
  184    2454        1     -0.000019       0.0
  184    4448        1     -0.000048      -2.0
  185    2454        1     -0.000107       0.0
  185    4448        1     -0.000275      -2.0
  186    2454        1     -0.000188       0.0
  186    4448        1     -0.000484      -2.0
  187    2454        1     -0.000232       0.0
  187    4448        1     -0.000597      -2.0
  188    2454        1     -0.000304       0.0
  188    4448        1     -0.000783      -2.0
  189    2454        1      0.000491       0.0
  189    2242        1      0.000669      -1.0
  190    2454        1      0.000412       0.0
  190    2907        1      0.000461      -2.0
  191    2454        1      0.000327       0.0
  191    2907        1      0.000321      -1.0
  191    4448        1      0.000200      -1.0
  192    2454        1      0.000259       0.0
  192    4448        1      0.000101      -1.0
  192    2242        1      0.002420      -2.0
  193    2454        1      0.000206       0.0
  193    2907        1      0.000121      -2.0
  193    1416        1     -0.000150      -2.0
